GISJOIN,ZCTA5CE10
G0101070050400,35442
G0400270011300,85365
G0400270011101,85365
G0400270010500,85365
G0400270010901,85365
G0400270001100,85365
G0400270001300,85365
G0400270001000,85365
G0400270000700,85365
G0400270001200,85365
G0400270000904,85365
G0501130950600,71973
G0600450011100,95445
G0900010011000,06870
G1200310013903,32233
G1200310013901,32233
G1200310013800,32233
G1200310013902,32233
G1200310013904,32233
G0600370701900,90401
G1301810970200,30817
G1301810970100,30817
G1300310990402,30458
G1300310990401,30458
G1300310990300,30458
G1300310990500,30458
G1600590980200,83467
G1600690991000,83501
G1600690990400,83501
G1600690990800,83501
G1600690990500,83501
G1600690990900,83501
G1600690990600,83501
G1600690990700,83501
G1600730940300,89832
G3200070940300,89832
G0601090001100,95370
G0601090001200,95370
G0601090002200,95370
G0601090004100,95370
G2200230970100,70643
G2201230980200,71263
G2201230980100,71263
G2300090965100,04605
G2300090965500,04605
G2300090965600,04605
G1800330020600,46738
G1700310815200,60402
G1700310815300,60402
G1700310815100,60402
G1700310815500,60402
G1700310814800,60402
G1700310814600,60402
G1700310814700,60402
G1700310815400,60402
G1700310815000,60402
G1700310814900,60402
G2300250985300,04945
G2600070000300,49707
G2600070000400,49707
G2600070000700,49707
G2600070000500,49707
G2600070000600,49707
G2600070000800,49707
G2600070000200,49707
G1901790960900,52501
G1901790961000,52501
G1901790960600,52501
G1901790960100,52501
G1901790960300,52501
G1901790960200,52501
G1901790960400,52501
G1901790960500,52501
G1901790960700,52501
G1901790960800,52501
G3000510050100,59522
G2500270725100,01535
G3200030005613,89040
G3200030005612,89040
G2200130970300,71068
G2601470655600,48006
G2601470652100,48006
G2901570970100,63775
G2901570970400,63775
G2901570970300,63775
G2901570970200,63775
G2901570970500,63775
G2900950002801,64105
G2900950001100,64105
G2900950001200,64105
G3601150084000,12832
G3400030057200,07057
G3400030057101,07057
G3400030057102,07057
G3900950009300,43504
G3600530030103,13421
G3600530030102,13421
G3600530030101,13421
G4100270950300,97031
G4100270950400,97031
G4100270950200,97031
G3600050007700,10456
G3600050018100,10456
G3600050013900,10456
G3600050017100,10456
G3600050014700,10456
G3600050017700,10456
G3600050013300,10456
G3600050014900,10456
G3600050014500,10456
G3600050013700,10456
G3600050017500,10456
G3600050013500,10456
G3600050017900,10456
G2900910990100,65793
G4400070010101,02916
G4400070010102,02916
G2801410950400,38873
G3700510003201,28306
