GISJOIN,ZCTA5CE10
G0101070050400,35442
G0400270001200,85365
G0400270000700,85365
G0400270011108,85365
G0400270011104,85365
G0400270011106,85365
G0400270000908,85365
G0400270010911,85365
G0400270011700,85365
G0400270010914,85365
G0400270011107,85365
G0400270010905,85365
G0400270010913,85365
G0400270001001,85365
G0400270012100,85365
G0400270980006,85365
G0400270001100,85365
G0501130950600,71973
G0600450011102,95445
G0900010011000,06870
G1200310013906,32233
G1200310013902,32233
G1200310013905,32233
G1200310013901,32233
G1200310013904,32233
G1200310013800,32233
G0600370701902,90401
G1301810970200,30817
G1301810970100,30817
G1300310110403,30458
G1300310110404,30458
G1300310110401,30458
G1300310110500,30458
G1300310110300,30458
G1600590970200,83467
G1600690960900,83501
G1600690960800,83501
G1600690961000,83501
G1600690960700,83501
G1600690960500,83501
G1600690960600,83501
G1600690960400,83501
G0601090004100,95370
G0601090002200,95370
G0601090001200,95370
G0601090001100,95370
G2200230970100,70643
G2201230000100,71263
G2201230000200,71263
G2300090965100,04605
G2300090965504,04605
G2300090965503,04605
G2300090966700,04605
G1800330020602,46738
G1800330020601,46738
G1700310815000,60402
G1700310814700,60402
G1700310814900,60402
G1700310814600,60402
G1700310815100,60402
G1700310815200,60402
G1700310815300,60402
G1700310815400,60402
G1700310815500,60402
G1700310814800,60402
G2300250965301,04945
G2300250965302,04945
G2600070000700,49707
G2600070000300,49707
G2600070000800,49707
G2600070000400,49707
G2600070000500,49707
G2600070000600,49707
G2600070000200,49707
G1901790960200,52501
G1901790960800,52501
G1901790960100,52501
G1901790960300,52501
G1901790960900,52501
G1901790960500,52501
G1901790960700,52501
G1901790960400,52501
G1901790961000,52501
G1901790960600,52501
G3000510050100,59522
G2500270725100,01535
G3200030005612,89040
G3200030005613,89040
G2200130970300,71068
G2601470655600,48006
G2601470652100,48006
G2901570470400,63775
G2901570470500,63775
G2901570470300,63775
G2901570470100,63775
G2901570470200,63775
G2900950001100,64105
G2900950015700,64105
G3601150084000,12832
G3400030057200,07057
G3400030057102,07057
G3400030057101,07057
G3900950009300,43504
G3600530940102,13421
G3600530940103,13421
G3600530940101,13421
G4100270950200,97031
G4100270950400,97031
G4100270950300,97031
G3600050017901,10456
G3600050017902,10456
G3600050018101,10456
G3600050018102,10456
G3600050018302,10456
G3600050014500,10456
G3600050018500,10456
G3600050017100,10456
G3600050015100,10456
G3600050007700,10456
G3600050013300,10456
G3600050014900,10456
G3600050014300,10456
G3600050014701,10456
G3600050017500,10456
G3600050014702,10456
G3600050017701,10456
G3600050017702,10456
G3600050013500,10456
G2900910090100,65793
G4400070010101,02916
G4400070010102,02916
G2801410950400,38873
G3700510001901,28306
G3700510003201,28306
G3700510001604,28306
G3700510003102,28306
G3700510000500,28306
G3700510003002,28306
G3700510001500,28306
G3700510001700,28306
G4701650020204,37148
G4701650020206,37148
G4701650020300,37148
G4701650020207,37148
G4701650020208,37148
G4701650020203,37148
G4701650020205,37148
G4701650020209,37148
G4700970050600,38041
G4800070950500,78382
G4800070950400,78382
G4800070950300,78382
G4800070950200,78382
G4800070950100,78382
G4800370010600,75501
G4800370010400,75501
G4800370011100,75501
G4800370011000,75501
G4800370010500,75501
G4800370011401,75501
G4800370010800,75501
G4800610013308,78521
G4800610013203,78521
G4800610980100,78521
G4800610014100,78521
G4800610013303,78521
G4800610013207,78521
G4800610013206,78521
G4800610012607,78521
G4800610013309,78521
G4800610013306,78521
G4800610013307,78521
G4800610013903,78521
G4800610013106,78521
G4800610013902,78521
G4800610013901,78521
G4800610013402,78521
G4800610013401,78521
G4800610013305,78521
G4800610013204,78521
G4800610013205,78521
G4800610013104,78521
G4800610013102,78521
G4800610013002,78521
G4800610012700,78521
G4800610014300,78521
G4200550010700,17202
G4200550010600,17202
G4200550011302,17202
G4200550011301,17202
G4200550010400,17202
G4200030320600,15226
G4200030191700,15226
G4200030191800,15226
G4200030191900,15226
G5400370972701,25425
G5400370972702,25425
G5400370972601,25425
G5400370972602,25425
G5500310021000,54874
G0100250957902,36545
G0100250957901,36545
G0100250958002,36545
G0100250958001,36545
G0100510030600,36092
G0100510030800,36092
G0100210060200,35046
G0100210060300,35046
G0100390961700,36474
G0101010005301,36115
G0202400000100,99738
G0400070000800,85545
G0500430490100,71638
G0500170080200,71638
G0501350470200,72542
G0501350470100,72542
G0501350470300,72542
G0501410460100,72031
G0501410460302,72031
G0501410460200,72031
G0600850504806,94089
G0600850504803,94089
G0600850504802,94089
