year,respondentid,agency,rssd_id
1995,1,1,298816
1995,8,1,173333
1995,19,1,404402
1995,24,1,504713
1995,35,1,886802
1995,42,1,872711
1995,47,1,693345
1995,56,1,165628
1995,64,1,680345
1995,83,1,468749
1995,86,1,505916
1995,95,1,395555
1995,109,1,374149
1995,144,1,583147
1995,148,1,23812
1995,164,1,148528
1995,176,1,741545
1995,177,1,429049
1995,182,1,22459
1995,183,1,36214
1995,191,1,42541
1995,200,1,76201
1995,205,1,342849
1995,206,1,962742
1995,209,1,527954
1995,212,1,215541
1995,230,1,773649
1995,249,1,379920
1995,252,1,817824
1995,311,1,5210
1995,317,1,599849
1995,324,1,1007417
1995,325,1,131418
1995,336,1,485559
1995,374,1,193304
1995,412,1,63201
1995,443,1,756316
1995,479,1,43940
1995,490,1,893501
1995,497,1,115100
1995,531,1,715144
1995,562,1,984623
1995,568,1,790918
1995,644,1,465618
1995,649,1,364917
1995,661,1,71318
1995,664,1,833217
1995,676,1,863607
1995,680,1,553814
1995,709,1,695705
1995,710,1,66855
1995,718,1,851819
1995,749,1,471048
1995,786,1,259518
1995,828,1,295628
1995,863,1,235521
1995,866,1,879000
1995,869,1,362445
1995,873,1,129442
1995,885,1,914004
1995,945,1,198345
1995,969,1,161107
1995,976,1,287007
1995,980,1,721800
1995,981,1,738611
1995,984,1,327846
1995,1011,1,273907
1995,1027,1,323204
1995,1090,1,814216
1995,1122,1,12405
1995,1194,1,555005
1995,1239,1,46905
1995,1253,1,505
1995,1254,1,252706
1995,1264,1,523714
1995,1267,1,802129
1995,1302,1,971801
1995,1316,1,554008
1995,1316,1,554008
1995,1327,1,748713
1995,1338,1,735405
1995,1354,1,702117
1995,1398,1,234506
1995,1413,1,256722
1995,1424,1,675529
1995,1427,1,1010930
1995,1430,1,608
1995,1461,1,476810
1995,1464,1,594714
1995,1467,1,103255
1995,1516,1,43511
1995,1551,1,527824
1995,1553,1,977960
1995,1559,1,787431
1995,1582,1,246321
1995,1596,1,101925
1995,1602,1,785941
1995,1633,1,469951
1995,1639,1,737931
1995,1651,1,788951
1995,1663,1,96012
1995,1741,1,451965
1995,1750,1,787253
1995,1770,1,299046
1995,1788,1,854717
1995,1798,1,105156
1995,1831,1,488916
1995,1831,1,488916
1995,1860,1,1001433
1995,1888,1,504843
1995,1910,1,177957
1995,1918,1,885047
1995,1929,1,484123
1995,1950,1,397540
1995,1988,1,912840
1995,1989,1,77020
1995,1997,1,328423
1995,2006,1,995151
1995,2044,1,160324
1995,2088,1,175252
1995,2132,1,917742
1995,2137,1,802110
1995,2151,1,875918
1995,2153,1,807405
1995,2179,1,25450
1995,2188,1,17240
1995,2189,1,550064
1995,2234,1,17147
1995,2252,1,254214
1995,2272,1,50005
1995,2307,1,660842
1995,2331,1,981604
1995,2332,1,745833
1995,2333,1,354310
1995,2341,1,933023
1995,2350,1,394923
1995,2360,1,785923
1995,2366,1,852713
1995,2377,1,928850
1995,2413,1,669443
1995,2477,1,614368
1995,2479,1,351122
1995,2481,1,368429
1995,2515,1,425911
1995,2521,1,674951
1995,2567,1,405052
1995,2571,1,75053
1995,2597,1,688079
1995,2604,1,738714
1995,2618,1,683001
1995,2723,1,430960
1995,2725,1,207845
1995,2737,1,115025
1995,2747,1,130541
1995,2782,1,557858
1995,2837,1,91129
1995,2927,1,697110
1995,2978,1,723354
1995,3032,1,742533
1995,3033,1,29252
1995,3106,1,505121
1995,3113,1,363358
1995,3124,1,418249
1995,3147,1,977616
1995,3175,1,842358
1995,3234,1,469223
1995,3269,1,728854
1995,3291,1,153326
1995,3350,1,181851
1995,3393,1,326858
1995,3417,1,29971
1995,3446,1,113151
1995,3456,1,791559
1995,3626,1,159056
1995,3629,1,61122
1995,3654,1,680813
1995,3720,1,456456
1995,3724,1,675949
1995,3727,1,329952
1995,3728,1,529060
1995,3785,1,472764
1995,3817,1,161602
1995,3854,1,934039
1995,3878,1,9807
1995,3883,1,36018
1995,3903,1,45627
1995,3941,1,523808
1995,3981,1,623137
1995,4013,1,791205
1995,4039,1,212018
1995,4076,1,895055
1995,4093,1,18050
1995,4097,1,322056
1995,4107,1,791821
1995,4154,1,807030
1995,4164,1,394222
1995,4166,1,470050
1995,4214,1,422255
1995,4230,1,799612
1995,4234,1,992048
1995,4278,1,263953
1995,4284,1,234355
1995,4289,1,274164
1995,4341,1,276579
1995,4364,1,229427
1995,4513,1,935111
1995,4514,1,373861
1995,4549,1,1014424
1995,4596,1,936136
1995,4646,1,369435
1995,4691,1,338833
1995,4692,1,620369
1995,4742,1,474759
1995,4774,1,442806
1995,4777,1,844567
1995,4803,1,609953
1995,4811,1,761637
1995,4842,1,404420
1995,4860,1,576653
1995,4866,1,87850
1995,4917,1,60219
1995,4920,1,774833
1995,4975,1,594947
1995,5001,1,800750
1995,5023,1,206633
1995,5046,1,922728
1995,5047,1,175551
1995,5065,1,223715
1995,5077,1,991715
1995,5087,1,654757
1995,5171,1,336156
1995,5179,1,682563
1995,5222,1,117841
1995,5249,1,817833
1995,5267,1,319047
1995,5275,1,181963
1995,5288,1,445955
1995,5304,1,853644
1995,5307,1,117029
1995,5347,1,398350
1995,5351,1,161022
1995,5458,1,974848
1995,5466,1,591366
1995,5481,1,119528
1995,5515,1,359959
1995,5559,1,329756
1995,5561,1,506922
1995,5581,1,548351
1995,5584,1,150334
1995,5599,1,978622
1995,5601,1,276711
1995,5621,1,143000
1995,5623,1,61122
1995,5625,1,348319
1995,5636,1,896566
1995,5741,1,323651
1995,5750,1,613950
1995,5753,1,294751
1995,5774,1,108269
1995,5784,1,371924
1995,5815,1,235530
1995,5833,1,56427
1995,5842,1,696645
1995,5850,1,369659
1995,5886,1,987352
1995,5932,1,608451
1995,5955,1,153652
1995,6031,1,45122
1995,6051,1,290016
1995,6120,1,751151
1995,6158,1,731313
1995,6187,1,599951
1995,6239,1,289542
1995,6301,1,934329
1995,6417,1,799751
1995,6433,1,179241
1995,6456,1,80020
1995,6483,1,211628
1995,6488,1,988256
1995,6534,1,920210
1995,6536,1,58010
1995,6572,1,281760
1995,6594,1,429526
1995,6604,1,252649
1995,6667,1,484927
1995,6680,1,663245
1995,6707,1,609010
1995,6728,1,973113
1995,6741,1,348122
1995,6813,1,392255
1995,6828,1,747752
