highcost,county_fips
1,6001
1,6003
1,6013
1,6017
1,6037
1,6041
1,6051
1,6053
1,6055
1,6057
1,6059
1,6061
1,6067
1,6069
1,6073
1,6075
1,6079
1,6081
1,6083
1,6085
1,6087
1,6095
1,6097
1,6111
1,6113
1,8001
1,8005
1,8013
1,8014
1,8019
1,8031
1,8035
1,8037
1,8039
1,8045
1,8047
1,8053
1,8059
1,8065
1,8091
1,8093
1,8097
1,8107
1,8113
1,8117
1,9001
1,11001
1,12021
1,12087
1,13133
1,15001
1,15003
1,15005
1,15007
1,15009
1,16013
1,16025
1,16063
1,16081
1,24003
1,24510
1,24005
1,24510
1,24009
1,24013
1,24017
1,24021
1,24025
1,24027
1,24031
1,24033
1,24035
1,25005
1,25007
1,25009
1,25017
1,25019
1,25021
1,25023
1,25025
1,31111
1,31113
1,31117
1,33015
1,33017
1,34003
1,34013
1,34017
1,34019
1,34023
1,34025
1,34027
1,34029
1,34031
1,34035
1,34037
1,34039
1,36005
1,36027
1,36047
1,36059
1,36061
1,36071
1,36079
1,36081
1,36085
1,36087
1,36103
1,36119
1,37029
1,37053
1,37073
1,37095
1,37139
1,37143
1,42103
1,44001
1,44003
1,44005
1,44007
1,44009
1,47015
1,47021
1,47037
1,47043
1,47081
1,47111
1,47119
1,47147
1,47149
1,47159
1,47165
1,47169
1,47187
1,47189
1,49035
1,49043
1,49045
1,51003
1,51510
1,51007
1,51013
1,51029
1,51033
1,51036
1,51540
1,51550
1,51041
1,51043
1,51570
1,51047
1,51049
1,51053
1,51059
1,51600
1,51600
1,51610
1,51061
1,51065
1,51630
1,51073
1,51075
1,51079
1,51650
1,51085
1,51087
1,51670
1,51093
1,51095
1,51097
1,51101
1,51103
1,51107
1,51109
1,51683
1,51685
1,51115
1,51125
1,51127
1,51700
1,51710
1,51730
1,51735
1,51740
1,51145
1,51149
1,51153
1,51157
1,51245
1,51177
1,51179
1,51800
1,51181
1,51183
1,51810
1,51187
1,51830
1,51199
1,53033
1,53053
1,53055
1,53061
1,54037
1,56039
